source,date,description,debit,credit,needs_review,review_reason,raw_text
source_01.jpg,04/07/2026,RENOER.COM +141S8304762 US,,900.17,NO,word OCR -900.17,Foxtay | —)> RENOER.COM +141S8304762 US -900.17 | ROENOCR.OOM percing
source_01.jpg,02/07/2026,Bridgewater Bake House,,5.0,YES,amount OCR $5.0; competing amount 5.50; outgoing/default expense,"Vemedsy, J uh 2 | © Bridgewater Bake House $5.90 | Onidgevwater V/aah House"
source_01.jpg,,Bridgewater Bake House,,,YES,date not detected; amount not written,® Bridgewater Bake House | Onidgevwater V/aah House
source_01.jpg,01/07/2026,RODING Pict OP TH2,,19.82,YES,word OCR -$19.82; competing amount 319.82,—> ROBINS PIZ2Z4/SHOP 17/2 YE MEADOWBROOK AU 319.82 | RODING Pict OP TH2 YC percing
source_01.jpg,02/06/2026,Yurnmy Fried Rice,,15.9,NO,amount OCR -$1S.90,"Veed reocag, 2h 2026 | ® Yurnmy Fried Rice | YUMMY FRICD RICE"
source_01.jpg,01/06/2026,Sp Nutra Nourished,,55.12,YES,day OCR; weekday disagreed; word OCR $55.12; outgoing/default expense,"Sunday, MM lute 20 | ® Sp Nutra Nourished $55.12 | SP NUTRA NOURGIIED"
source_01.jpg,02/05/2026,Pizza in A Hurryohm Food,,14.95,NO,amount OCR $14.95; outgoing/default expense,"Foca, D lure 2 | ® Pizza in A Hurryohmn Food S14.95 | PIZZA INA IWURRYTOIM FOOD"
source_01.jpg,,Foodworks,,,YES,date not detected; amount not written,"Tusecty 9 June 200%, | Foodworks $6.90 | FOO OW/ORKS PORCST LAK"
source_01.jpg,,Khao Thai Restaurant,,,YES,date not detected; amount not written,Motdyy @ me 2006 | ® Khao Thai Restaurant $23.72 | KIVA THAD PTY LTD
source_01.jpg,01/05/2026,Transfer,,300.0,YES,day OCR; weekday disagreed; amount OCR $300.00,"Sunday, Tlune 200%, | — Transfer -$300.00 | Toc Aeccaridion Syrmornnw"
source_01.jpg,,Transfer,,,YES,date not detected; amount not written,—» Transfer +$300.00 | Frocex Save NC
source_01.jpg,24/04/2026,Robins Pizza/Shop 17/2,,19.82,NO,amount OCR -$19.82,"Fria, 5 dre 2008 | ® Robins Pizza/Stvop 17/2 319.82 | RODING Pict EAVOP THs"
source_01.jpg,,Render.Com,,,YES,date not detected; amount not written,© Render.com -$9.83 | ROENOCR.OOM
source_01.jpg,21/04/2026,ome 2006,,20.0,YES,word OCR +$20.00; defaulted to money out; verify,"Tresteday, 4 ome 2006 | —» Transfer +$21L00 | Frocex Save NC"
